metodo,N_DIMENSOES,precisao,cobertura,medida_f
BASELINE,5,0.30709818636647906,0.48373983739837406,0.37569166447269237
PROPOSTO,5,0.3045340838023765,0.5015634771732331,0.37896944832539037
PROPOSTO,5,0.390893760539629,0.6045531197301856,0.4747938782092394
PROPOSTO,5,0.3319262038774235,0.512820512820513,0.4030049782409583
