metodo,N_DIMENSOES,precisao,cobertura,medida_f,k
BASELINE,5,0.33450577200577203,0.49164862914862917,0.3981321264382048,0
PROPOSTO,5,0.3134417645846217,0.3839546485260772,0.3451334715579586,1
PROPOSTO,5,0.3467796521920233,0.5152818687612503,0.41456268000985896,2
PROPOSTO,5,0.3833537882506955,0.48687203403698265,0.4289558729727012,3
