usa_vizinhos,n_dimensoes,n_classes,n_atributos,n_exemplos,thr,precisao,cobertura,medida_f
BASELINE,10,3,5,150,0.0,0.45972222222222214,0.39583333333333337,0.42539231601731603
BASELINE,10,3,5,150,0.5,0.5185185185185186,0.8148148148148148,0.6337448559670782
