metodo,n_dimensoes,n_classes,n_atributos,n_exemplos,thr,precisao,cobertura,medida_f
PROPOSTO,10,10,15,150,,0.27418253968253953,0.48888888888888904,0.3513296191133252
PROPOSTO,10,10,15,150,,0.2802910052910052,0.5718518518518518,0.3761926280072254
PROPOSTO,10,10,15,150,,0.31334126984126986,0.5586666666666668,0.40149479247252134
BASELINE,25,10,15,150,,0.28882128159905923,0.5151851851851852,0.37013743444420194
PROPOSTO,25,10,15,150,,0.2640714285714285,0.4729999999999999,0.33892450818877795
PROPOSTO,25,10,15,150,,0.27137301587301593,0.5513333333333336,0.3637190585980585
PROPOSTO,25,10,15,150,,0.3138677248677249,0.5804444444444444,0.4074254682903581
BASELINE,5,3,30,150,,0.3333333333333334,0.3433333333333333,0.3382594417077176
PROPOSTO,5,3,30,150,,0.21234567901234566,0.28765432098765437,0.2443286084438348
PROPOSTO,5,3,30,150,,0.2077777777777777,0.2688888888888889,0.2344159544159544
PROPOSTO,5,3,30,150,,0.27111111111111114,0.30333333333333334,0.28631850419084465
BASELINE,10,3,30,150,,0.4361111111111111,0.5097222222222224,0.47005221080110954
PROPOSTO,10,3,30,150,,0.4777777777777777,0.4277777777777778,0.4513974096796183
PROPOSTO,10,3,30,150,,0.4655555555555555,0.37444444444444447,0.4150587889476778
PROPOSTO,10,3,30,150,,0.4666666666666667,0.41851851851851846,0.4412831241283124
BASELINE,25,3,30,150,,0.4962962962962963,0.5493827160493828,0.5214919760374306
PROPOSTO,25,3,30,150,,0.5311111111111111,0.4822222222222221,0.5054873294346978
PROPOSTO,25,3,30,150,,0.5977777777777779,0.5955555555555556,0.5966645975584525
PROPOSTO,25,3,30,150,,0.608888888888889,0.5777777777777777,0.5929255097794425
BASELINE,5,5,30,150,,0.3827160493827161,0.44913580246913576,0.4132742616961475
PROPOSTO,5,5,30,150,,0.3797777777777778,0.5242222222222223,0.4404600677373539
PROPOSTO,5,5,30,150,,0.3694444444444444,0.5706666666666665,0.44852066343615804
PROPOSTO,5,5,30,150,,0.4051111111111112,0.5361111111111111,0.4614947730164352
BASELINE,10,5,30,150,,0.3756790123456789,0.4561728395061727,0.41203144868426345
PROPOSTO,10,5,30,150,,0.3549382716049383,0.37469135802469133,0.36454742955024966
PROPOSTO,10,5,30,150,,0.4530000000000001,0.5413333333333332,0.4932430439155214
PROPOSTO,10,5,30,150,,0.47877777777777775,0.5187777777777779,0.49797581743026165
BASELINE,25,5,30,150,,0.3544444444444445,0.4135802469135802,0.3817356980835522
PROPOSTO,25,5,30,150,,0.3235555555555556,0.4345555555555557,0.3709294380119531
PROPOSTO,25,5,30,150,,0.421888888888889,0.5448888888888889,0.47556444342285054
PROPOSTO,25,5,30,150,,0.4307777777777778,0.5974444444444444,0.5006034387532119
BASELINE,5,10,30,150,,0.1868055555555555,0.47250000000000003,0.2677533178849799
PROPOSTO,5,10,30,150,,0.1963650793650793,0.40544444444444444,0.2645858111632759
PROPOSTO,5,10,30,150,,0.20501587301587293,0.5109629629629628,0.29262182809472187
PROPOSTO,5,10,30,150,,0.23785714285714277,0.5357037037037039,0.3294400251704821
BASELINE,10,10,30,150,,0.20572310405643737,0.38539094650205774,0.26825219842006104
PROPOSTO,10,10,30,150,,0.22743650793650785,0.43785185185185177,0.29936942293834107
PROPOSTO,10,10,30,150,,0.20492063492063486,0.412037037037037,0.2737137248736236
PROPOSTO,10,10,30,150,,0.21671663727219279,0.40884773662551444,0.2832773423005615
BASELINE,25,10,30,150,,0.21949735449735439,0.4454732510288066,0.29408878915118325
PROPOSTO,25,10,30,150,,0.2646243386243386,0.4775555555555555,0.3405449919521437
PROPOSTO,25,10,30,150,,0.25521428571428567,0.5118888888888887,0.34060961150483665
PROPOSTO,25,10,30,150,,0.29698412698412696,0.547925925925926,0.3851896475905794
