metodo,n_dimensoes,n_classes,n_atributos,n_exemplos,thr,precisao,cobertura,medida_f
BASELINE,5,3,5,150,,0.4345679012345679,0.3061728395061728,0.35924279835390943
PROPOSTO,5,3,5,150,,0.35185185185185186,0.25925925925925924,0.29854096520763185
PROPOSTO,5,3,5,150,,0.3977777777777778,0.3255555555555555,0.35806110257723156
PROPOSTO,5,3,5,150,,0.5522222222222223,0.5166666666666668,0.5338530838530839
BASELINE,10,3,5,150,,0.3899999999999999,0.47,0.4262790697674418
PROPOSTO,10,3,5,150,,0.4333333333333331,0.4900000000000002,0.459927797833935
PROPOSTO,10,3,5,150,,0.5077777777777777,0.5655555555555555,0.5351115711985276
PROPOSTO,10,3,5,150,,0.5555555555555557,0.6222222222222222,0.5870020964360587
BASELINE,25,3,5,150,,0.576388888888889,0.4694444444444444,0.5174487236240224
PROPOSTO,25,3,5,150,,0.5644444444444445,0.4855555555555555,0.5220364491475603
PROPOSTO,25,3,5,150,,0.538888888888889,0.43111111111111106,0.47901234567901235
PROPOSTO,25,3,5,150,,0.57,0.4666666666666668,0.5131832797427655
BASELINE,5,5,5,150,,0.4016049382716051,0.528148148148148,0.4562650181718035
PROPOSTO,5,5,5,150,,0.44160493827160496,0.5451851851851852,0.4879588158156906
PROPOSTO,5,5,5,150,,0.4304444444444444,0.47877777777777775,0.4533264355642456
PROPOSTO,5,5,5,150,,0.47077777777777774,0.5976666666666667,0.5266875346644482
BASELINE,10,5,5,150,,0.3640740740740741,0.3982716049382715,0.38040581796371264
PROPOSTO,10,5,5,150,,0.4054444444444445,0.5116666666666667,0.45240408690735806
PROPOSTO,10,5,5,150,,0.3737777777777779,0.46922222222222226,0.41609689088059987
PROPOSTO,10,5,5,150,,0.42566666666666664,0.5452222222222222,0.4780833905546654
BASELINE,25,5,5,150,,0.3059722222222223,0.4068055555555555,0.34925667922404097
PROPOSTO,25,5,5,150,,0.437037037037037,0.4698765432098765,0.45286222786903424
PROPOSTO,25,5,5,150,,0.3427160493827161,0.41000000000000003,0.3733508282762015
PROPOSTO,25,5,5,150,,0.4043333333333334,0.4747777777777777,0.43673314796090323
BASELINE,5,10,5,150,,0.21079365079365073,0.44987654320987647,0.287075517589132
PROPOSTO,5,10,5,150,,0.23569047619047614,0.5055555555555555,0.3214981923045351
PROPOSTO,5,10,5,150,,0.2390035273368607,0.3917283950617285,0.2968756292585258
PROPOSTO,5,10,5,150,,0.2414444444444444,0.43322222222222234,0.3100763797394232
BASELINE,10,10,5,150,,0.254647266313933,0.5140740740740741,0.3405852049840441
PROPOSTO,10,10,5,150,,0.23358465608465603,0.5586666666666669,0.3294307183889814
PROPOSTO,10,10,5,150,,0.22598765432098758,0.42666666666666675,0.2954746366531101
PROPOSTO,10,10,5,150,,0.2886349206349206,0.5318888888888892,0.374204149712942
BASELINE,25,10,5,150,,0.24039682539682536,0.4669135802469136,0.31738411178573755
PROPOSTO,25,10,5,150,,0.2647413286302176,0.468395061728395,0.33828229670921656
PROPOSTO,25,10,5,150,,0.24467460317460307,0.5683333333333334,0.34207964414594694
PROPOSTO,25,10,5,150,,0.2610925925925925,0.5572222222222222,0.35557609862685774
BASELINE,5,3,15,150,,0.41358024691358036,0.34567901234567894,0.37659339556358523
PROPOSTO,5,3,15,150,,0.5679012345679013,0.5654320987654322,0.5666639769762501
PROPOSTO,5,3,15,150,,0.6188888888888888,0.5788888888888888,0.5982209853638424
PROPOSTO,5,3,15,150,,0.6644444444444444,0.6066666666666668,0.6342424242424242
BASELINE,10,3,15,150,,0.523611111111111,0.42777777777777776,0.47086780210867796
PROPOSTO,10,3,15,150,,0.5655555555555555,0.4622222222222223,0.5086942942942944
PROPOSTO,10,3,15,150,,0.5900000000000001,0.6188888888888888,0.6040992647058824
PROPOSTO,10,3,15,150,,0.6033333333333334,0.6077777777777779,0.6055474006116208
BASELINE,25,3,15,150,,0.43333333333333335,0.3791666666666666,0.4044444444444444
PROPOSTO,25,3,15,150,,0.5271604938271605,0.4283950617283952,0.4726736210801672
PROPOSTO,25,3,15,150,,0.5866666666666667,0.5333333333333333,0.5587301587301586
PROPOSTO,25,3,15,150,,0.6344444444444444,0.56,0.5949023255813953
BASELINE,5,5,15,150,,0.3202469135802468,0.43037037037037035,0.367230506822612
PROPOSTO,5,5,15,150,,0.364,0.43099999999999994,0.39467672955974836
PROPOSTO,5,5,15,150,,0.39400000000000013,0.556888888888889,0.4614928721663942
PROPOSTO,5,5,15,150,,0.41100000000000003,0.4552222222222223,0.43198229861467424
BASELINE,10,5,15,150,,0.31266666666666665,0.5088888888888888,0.3873446938959516
PROPOSTO,10,5,15,150,,0.3196666666666667,0.47311111111111104,0.38153907965428635
PROPOSTO,10,5,15,150,,0.41822222222222216,0.6197777777777779,0.49943128999262587
PROPOSTO,10,5,15,150,,0.44622222222222235,0.5707777777777778,0.5008726222125109
BASELINE,25,5,15,150,,0.32396825396825396,0.35539682539682543,0.33895557039014984
PROPOSTO,25,5,15,150,,0.3835555555555555,0.4801111111111111,0.4264360106922824
PROPOSTO,25,5,15,150,,0.4051111111111112,0.5161111111111112,0.4539237995684746
PROPOSTO,25,5,15,150,,0.4143333333333334,0.5294444444444445,0.4648689270857861
BASELINE,5,10,15,150,,0.2652469135802469,0.48765432098765427,0.34360098668261874
PROPOSTO,5,10,15,150,,0.2958888888888891,0.5405555555555555,0.3824387471956549
PROPOSTO,5,10,15,150,,0.28400000000000003,0.5007777777777779,0.36244881778281185
PROPOSTO,5,10,15,150,,0.2988571428571428,0.5394444444444444,0.38462726980099593
BASELINE,10,10,15,150,,0.26650793650793647,0.4366666666666666,0.33099924755455223
