metodo,n_dimensoes,n_classes,n_atributos,n_exemplos,thr,precisao,cobertura,medida_f
BASELINE,25,10,15,150,,0.21784060846560838,0.46184523809523803,0.2960445570337584
PROPOSTO,25,10,15,150,,0.28008994708994694,0.49292063492063476,0.3572062731544178
PROPOSTO,25,10,15,150,,0.2674920634920634,0.5295873015873016,0.35544866999957003
PROPOSTO,25,10,15,150,,0.3166746031746031,0.5604285714285714,0.404681001286186
BASELINE,5,3,30,150,,0.37037037037037035,0.4049382716049382,0.38688369898560976
PROPOSTO,5,3,30,150,,0.4271604938271604,0.4185185185185185,0.4227953500946201
PROPOSTO,5,3,30,150,,0.530864197530864,0.5222222222222221,0.5265077504233423
PROPOSTO,5,3,30,150,,0.48271604938271606,0.5,0.49120603015075376
BASELINE,10,3,30,150,,0.36944444444444446,0.4069444444444444,0.3872888093818327
PROPOSTO,10,3,30,150,,0.49444444444444446,0.48555555555555574,0.4899596875787353
PROPOSTO,10,3,30,150,,0.5411111111111112,0.5277777777777777,0.5343612843612843
PROPOSTO,10,3,30,150,,0.5188888888888888,0.5411111111111111,0.5297670626601443
BASELINE,25,3,30,150,,0.4513888888888889,0.4500000000000001,0.45069337442218804
PROPOSTO,25,3,30,150,,0.47037037037037044,0.37901234567901243,0.4197782084409992
PROPOSTO,25,3,30,150,,0.5411111111111111,0.4866666666666666,0.5124468468468468
PROPOSTO,25,3,30,150,,0.5877777777777778,0.5522222222222221,0.5694455273987438
BASELINE,5,5,30,150,,0.35222222222222227,0.40911111111111104,0.37854122073036256
PROPOSTO,5,5,30,150,,0.3353333333333334,0.41799999999999987,0.37213097345132745
PROPOSTO,5,5,30,150,,0.3621111111111113,0.511888888888889,0.4241662570274318
PROPOSTO,5,5,30,150,,0.32522222222222225,0.46188888888888896,0.3816907898864421
BASELINE,10,5,30,150,,0.3564444444444445,0.43755555555555553,0.3928570451223684
PROPOSTO,10,5,30,150,,0.3496666666666667,0.44866666666666666,0.39302825330549757
PROPOSTO,10,5,30,150,,0.32246913580246905,0.3716049382716049,0.3452977939400327
PROPOSTO,10,5,30,150,,0.402,0.5129999999999999,0.45076721311475404
BASELINE,25,5,30,150,,0.3540277777777778,0.44152777777777774,0.3929658888112973
PROPOSTO,25,5,30,150,,0.41844444444444445,0.47355555555555556,0.4442975142556607
PROPOSTO,25,5,30,150,,0.4497777777777778,0.5477777777777778,0.4939640107918121
PROPOSTO,25,5,30,150,,0.44588888888888895,0.5526666666666665,0.49356878454063274
BASELINE,5,10,30,150,,0.17571428571428566,0.41977777777777775,0.24773110139673735
PROPOSTO,5,10,30,150,,0.23722222222222228,0.5094444444444445,0.3237094907407408
PROPOSTO,5,10,30,150,,0.23161904761904756,0.5863333333333335,0.332063262890299
PROPOSTO,5,10,30,150,,0.2541375661375663,0.6179999999999999,0.3601656939709042
BASELINE,10,10,30,150,,0.20180776014109333,0.3996296296296295,0.2681853899117068
PROPOSTO,10,10,30,150,,0.1981834215167548,0.45185185185185184,0.2755221129912504
PROPOSTO,10,10,30,150,,0.2374126984126983,0.49866666666666676,0.32167672280565546
PROPOSTO,10,10,30,150,,0.27005291005291004,0.6108888888888889,0.3745362573591141
BASELINE,25,10,30,150,,0.20527336860670198,0.4337037037037038,0.27865732306968855
PROPOSTO,25,10,30,150,,0.2701825396825397,0.5439999999999999,0.3610475401366645
PROPOSTO,25,10,30,150,,0.2933809523809523,0.5815555555555555,0.39001075210294917
PROPOSTO,25,10,30,150,,0.28363756613756613,0.616,0.38842473306416747
