metodo,n_dimensoes,n_classes,n_atributos,n_exemplos,thr,precisao,cobertura,medida_f
BASELINE,5,3,5,150,,0.35555555555555546,0.4513888888888888,0.3977816026008796
PROPOSTO,5,3,5,150,,0.42333333333333345,0.5366666666666667,0.47331018518518525
PROPOSTO,5,3,5,150,,0.4913580246913581,0.5135802469135801,0.5022234355567688
PROPOSTO,5,3,5,150,,0.47111111111111104,0.49,0.4803699421965318
BASELINE,10,3,5,150,,0.3888888888888889,0.42638888888888893,0.40677645277304564
PROPOSTO,10,3,5,150,,0.46111111111111114,0.5233333333333332,0.4902558314522196
PROPOSTO,10,3,5,150,,0.4544444444444444,0.5111111111111112,0.48111494693773177
PROPOSTO,10,3,5,150,,0.4122222222222222,0.4700000000000001,0.43921914357682623
BASELINE,25,3,5,150,,0.4629629629629629,0.3790123456790124,0.4168024329314652
PROPOSTO,25,3,5,150,,0.4277777777777777,0.41,0.4187002652519893
PROPOSTO,25,3,5,150,,0.40111111111111114,0.3688888888888889,0.38432579765913105
PROPOSTO,25,3,5,150,,0.4722222222222221,0.4266666666666667,0.44829007004532334
BASELINE,5,5,5,150,,0.41753086419753094,0.40654320987654324,0.41196378600823047
PROPOSTO,5,5,5,150,,0.4402777777777778,0.4344444444444445,0.43734166049186696
PROPOSTO,5,5,5,150,,0.4181111111111111,0.4828888888888888,0.4481713870733478
PROPOSTO,5,5,5,150,,0.4372222222222223,0.503,0.46781021035216264
BASELINE,10,5,5,150,,0.3734567901234568,0.4118518518518518,0.39171572138086835
PROPOSTO,10,5,5,150,,0.3170833333333334,0.4397222222222223,0.36846607940294857
PROPOSTO,10,5,5,150,,0.45111111111111113,0.5446666666666669,0.49349401175332896
PROPOSTO,10,5,5,150,,0.4493827160493828,0.4962962962962964,0.47167585339909107
BASELINE,25,5,5,150,,0.3952777777777778,0.5443055555555554,0.4579729818510306
PROPOSTO,25,5,5,150,,0.4368888888888889,0.5216666666666666,0.475528766276419
PROPOSTO,25,5,5,150,,0.45133333333333336,0.513111111111111,0.48024362519201225
PROPOSTO,25,5,5,150,,0.5003333333333335,0.6298888888888888,0.5576857386289161
BASELINE,5,10,5,150,,0.2197442680776014,0.3971869488536156,0.2829474436387434
PROPOSTO,5,10,5,150,,0.268468253968254,0.5284761904761904,0.35605764268760837
PROPOSTO,5,10,5,150,,0.2878730158730158,0.45992857142857135,0.35410736535362153
PROPOSTO,5,10,5,150,,0.27698706643151083,0.5087389770723103,0.3586851116968012
BASELINE,10,10,5,150,,0.22673015873015862,0.4659761904761905,0.3050379305810842
PROPOSTO,10,10,5,150,,0.2508544973544973,0.5482142857142855,0.344205710445265
PROPOSTO,10,10,5,150,,0.2728571428571428,0.5481587301587302,0.36435111636488166
PROPOSTO,10,10,5,150,,0.28342857142857153,0.5880952380952382,0.38250932763007955
BASELINE,25,10,5,150,,0.254210758377425,0.5098544973544973,0.33926552074526567
PROPOSTO,25,10,5,150,,0.2807407407407406,0.4748500881834216,0.35286231752503167
PROPOSTO,25,10,5,150,,0.29494444444444456,0.5241984126984127,0.37749071059782036
PROPOSTO,25,10,5,150,,0.30163492063492064,0.5154126984126984,0.38055668912213964
BASELINE,5,3,15,150,,0.5074074074074074,0.5753086419753085,0.5392288525697875
PROPOSTO,5,3,15,150,,0.38333333333333336,0.35444444444444445,0.3683232931726908
PROPOSTO,5,3,15,150,,0.5266666666666666,0.5077777777777779,0.5170497672753313
PROPOSTO,5,3,15,150,,0.48222222222222216,0.45,0.46555423122765194
BASELINE,10,3,15,150,,0.32777777777777783,0.35777777777777775,0.34212137583288316
PROPOSTO,10,3,15,150,,0.511111111111111,0.468888888888889,0.4890904509952129
PROPOSTO,10,3,15,150,,0.48111111111111104,0.4699999999999999,0.4754906542056074
PROPOSTO,10,3,15,150,,0.4888888888888889,0.46333333333333343,0.4757681835861533
BASELINE,25,3,15,150,,0.3861111111111111,0.3763888888888889,0.38118801861971263
PROPOSTO,25,3,15,150,,0.34320987654320995,0.3234567901234568,0.3330406950160037
PROPOSTO,25,3,15,150,,0.4123456790123457,0.41975308641975306,0.4160164120599333
PROPOSTO,25,3,15,150,,0.5155555555555555,0.508888888888889,0.5122005302482526
BASELINE,5,5,15,150,,0.44933333333333336,0.5125555555555555,0.4788667359747411
PROPOSTO,5,5,15,150,,0.49617283950617275,0.4560493827160494,0.47526577703508427
PROPOSTO,5,5,15,150,,0.49271604938271596,0.4975308641975309,0.49511175140564656
PROPOSTO,5,5,15,150,,0.4923456790123456,0.48950617283950626,0.4909218200135674
BASELINE,10,5,15,150,,0.2986111111111111,0.40930555555555553,0.3453038824580908
PROPOSTO,10,5,15,150,,0.37444444444444436,0.4233333333333333,0.39739090064995347
PROPOSTO,10,5,15,150,,0.398641975308642,0.5049382716049382,0.4455378273021849
PROPOSTO,10,5,15,150,,0.503,0.59,0.5430375114364135
BASELINE,25,5,15,150,,0.3966666666666667,0.47555555555555545,0.43254352441613586
PROPOSTO,25,5,15,150,,0.46122222222222226,0.578111111111111,0.5130936972893355
PROPOSTO,25,5,15,150,,0.45566666666666683,0.6229999999999999,0.5263541409147097
PROPOSTO,25,5,15,150,,0.4973333333333332,0.6373333333333334,0.5586964355660007
BASELINE,5,10,15,150,,0.23749669312169294,0.5090277777777777,0.32388064595831834
PROPOSTO,5,10,15,150,,0.2464867724867725,0.48196825396825393,0.3261664620253792
PROPOSTO,5,10,15,150,,0.18611111111111095,0.3976719576719576,0.25355709631777956
PROPOSTO,5,10,15,150,,0.24250529100529092,0.5165714285714287,0.33006230168826045
BASELINE,10,10,15,150,,0.25327380952380935,0.45962301587301574,0.32658434720952095
PROPOSTO,10,10,15,150,,0.24946825396825398,0.49457142857142866,0.3316486301568169
PROPOSTO,10,10,15,150,,0.2583201058201057,0.46974603174603174,0.3333346748822986
PROPOSTO,10,10,15,150,,0.299148148148148,0.6342539682539683,0.40654696775306925
