metodo,n_dimensoes,n_classes,n_atributos,n_exemplos,thr,precisao,cobertura,medida_f
BASELINE,10,3,5,150,0.0,0.4805555555555555,0.39305555555555566,0.43242360007065894
BASELINE,10,3,5,150,0.5,0.5333333333333331,0.8733333333333333,0.6622432859399683
PROPOSTO,10,3,5,150,0.0,0.43111111111111117,0.3455555555555555,0.38362104593864255
PROPOSTO,10,3,5,150,0.5,0.5333333333333331,0.8733333333333333,0.6622432859399683
BASELINE,20,3,5,150,0.0,0.37037037037037035,0.4148148148148149,0.39133473095737253
BASELINE,20,3,5,150,0.5,0.5333333333333332,0.8733333333333333,0.6622432859399683
PROPOSTO,20,3,5,150,0.0,0.581111111111111,0.5277777777777779,0.5531618793141839
PROPOSTO,20,3,5,150,0.5,0.5305555555555556,0.875,0.6605731225296444
BASELINE,25,3,5,150,0.0,0.4555555555555556,0.4444444444444443,0.44993141289437577
BASELINE,25,3,5,150,0.5,0.5333333333333333,0.8733333333333333,0.6622432859399683
PROPOSTO,25,3,5,150,0.0,0.5197530864197532,0.5716049382716051,0.5444472375844925
PROPOSTO,25,3,5,150,0.5,0.5333333333333334,0.8733333333333333,0.6622432859399685
BASELINE,10,5,5,150,0.0,0.37711111111111106,0.4942222222222223,0.42779653716455557
BASELINE,10,5,5,150,0.5,0.3706666666666666,0.8533333333333334,0.5168336964415394
PROPOSTO,10,5,5,150,0.0,0.4314814814814814,0.4444444444444444,0.4378670425182053
PROPOSTO,10,5,5,150,0.5,0.3706666666666667,0.8533333333333334,0.5168336964415395
BASELINE,20,5,5,150,0.0,0.3463888888888889,0.43875,0.38713691845038034
BASELINE,20,5,5,150,0.5,0.37333333333333324,0.8592592592592593,0.5205128205128204
PROPOSTO,20,5,5,150,0.0,0.3632098765432099,0.5006172839506172,0.42098500768406916
PROPOSTO,20,5,5,150,0.5,0.37066666666666664,0.8533333333333334,0.5168336964415395
BASELINE,25,5,5,150,0.0,0.3580246913580247,0.42209876543209873,0.3874304224570617
BASELINE,25,5,5,150,0.5,0.3706666666666666,0.8533333333333334,0.5168336964415394
PROPOSTO,25,5,5,150,0.0,0.4154444444444445,0.5534444444444445,0.4746166921508665
PROPOSTO,25,5,5,150,0.5,0.37066666666666687,0.8533333333333334,0.5168336964415399
BASELINE,10,10,5,150,0.0,0.1560714285714285,0.40694444444444433,0.22561495630109943
BASELINE,10,10,5,150,0.5,0.17533333333333356,0.8733333333333333,0.2920364484000851
PROPOSTO,10,10,5,150,0.0,0.14374779541446203,0.3617283950617284,0.20573732376969114
PROPOSTO,10,10,5,150,0.5,0.1753333333333335,0.8733333333333333,0.29203644840008497
BASELINE,20,10,5,150,0.0,0.18504703115814225,0.44506172839506175,0.26140678183879046
BASELINE,20,10,5,150,0.5,0.1753333333333335,0.8733333333333333,0.29203644840008497
PROPOSTO,20,10,5,150,0.0,0.24130423280423277,0.6116666666666668,0.3460792292526691
PROPOSTO,20,10,5,150,0.5,0.17533333333333348,0.8733333333333333,0.2920364484000849
BASELINE,25,10,5,150,0.0,0.18000992063492055,0.4347222222222222,0.2545964567811577
BASELINE,25,10,5,150,0.5,0.1753333333333334,0.8733333333333333,0.29203644840008486
PROPOSTO,25,10,5,150,0.0,0.19435978835978826,0.5183333333333335,0.282711180731359
PROPOSTO,25,10,5,150,0.5,0.17533333333333337,0.8733333333333333,0.29203644840008486
BASELINE,10,3,15,150,0.0,0.4922222222222223,0.41222222222222216,0.4486841386841387
BASELINE,10,3,15,150,0.5,0.5444444444444442,0.8466666666666667,0.6627263045793395
PROPOSTO,10,3,15,150,0.0,0.5790123456790124,0.5987654320987654,0.588723244558325
PROPOSTO,10,3,15,150,0.5,0.5444444444444446,0.8466666666666667,0.6627263045793398
BASELINE,20,3,15,150,0.0,0.39629629629629626,0.4938271604938272,0.4397184979709251
BASELINE,20,3,15,150,0.5,0.5444444444444446,0.8466666666666667,0.6627263045793398
PROPOSTO,20,3,15,150,0.0,0.5155555555555555,0.5333333333333334,0.5242937853107346
PROPOSTO,20,3,15,150,0.5,0.5444444444444444,0.8466666666666667,0.6627263045793397
BASELINE,25,3,15,150,0.0,0.3839506172839506,0.3469135802469135,0.3644936603269936
BASELINE,25,3,15,150,0.5,0.5444444444444444,0.8466666666666667,0.6627263045793397
PROPOSTO,25,3,15,150,0.0,0.571111111111111,0.57,0.5705550146056474
PROPOSTO,25,3,15,150,0.5,0.5444444444444446,0.8466666666666667,0.6627263045793398
BASELINE,10,5,15,150,0.0,0.3334567901234569,0.46790123456790145,0.3894010890672937
BASELINE,10,5,15,150,0.5,0.35600000000000004,0.8266666666666667,0.49767756482525366
PROPOSTO,10,5,15,150,0.0,0.42088888888888887,0.47600000000000015,0.4467512388503469
PROPOSTO,10,5,15,150,0.5,0.356,0.8266666666666667,0.49767756482525366
BASELINE,20,5,15,150,0.0,0.3709876543209878,0.4228395061728395,0.3952201294088283
BASELINE,20,5,15,150,0.5,0.35600000000000015,0.8266666666666667,0.4976775648252538
PROPOSTO,20,5,15,150,0.0,0.4165432098765432,0.457283950617284,0.4359638455447064
PROPOSTO,20,5,15,150,0.5,0.3559999999999999,0.8266666666666667,0.49767756482525366
BASELINE,25,5,15,150,0.0,0.3469444444444445,0.4540277777777778,0.3933280349883437
BASELINE,25,5,15,150,0.5,0.3559999999999999,0.8266666666666667,0.49767756482525366
PROPOSTO,25,5,15,150,0.0,0.3751111111111112,0.4796666666666667,0.4209943238441874
PROPOSTO,25,5,15,150,0.5,0.3559999999999999,0.8266666666666667,0.49767756482525366
