metodo,N_DIMENSOES,precisao,cobertura,medida_f
BASELINE,5,0.15227988897833908,0.5226434228633919,0.23584333512415345
PROPOSTO,5,0.15240840729722907,0.5195176394345654,0.23567729327999462
PROPOSTO,5,0.14815027296126868,0.5070455216388917,0.22930224233332488
