metodo,N_DIMENSOES,precisao,cobertura,medida_f
BASELINE,5,0.15319384186852722,0.5036938054414019,0.2349345112423474
PROPOSTO,5,0.1586496028086569,0.5560925618519724,0.24686906250886695
PROPOSTO,5,0.1644140260919915,0.5517368726236987,0.2533356607780492
PROPOSTO,5,0.15805896572745834,0.5274762792741383,0.2432328775383214
