usa_vizinhos,n_neuronios,n_classes,n_atributos,n_exemplos,precisao,cobertura,medida_f
False,15,3,5,150,0.4688888888888889,0.4688888888888889,0.46888888888888886
False,25,3,5,150,0.4688888888888889,0.4688888888888889,0.46888888888888886
False,50,3,5,150,0.4688888888888889,0.4688888888888889,0.46888888888888886
False,15,5,5,150,0.6306666666666667,0.6306666666666667,0.6306666666666667
False,25,5,5,150,0.6306666666666667,0.6306666666666667,0.6306666666666667
False,50,5,5,150,0.6306666666666667,0.6306666666666667,0.6306666666666667
False,15,10,5,150,0.8046666666666666,0.8046666666666666,0.8046666666666666
False,25,10,5,150,0.8046666666666666,0.8046666666666666,0.8046666666666666
False,50,10,5,150,0.8046666666666666,0.8046666666666666,0.8046666666666666
False,15,3,15,150,0.4288888888888889,0.4288888888888889,0.42888888888888893
False,25,3,15,150,0.4288888888888889,0.4288888888888889,0.42888888888888893
False,50,3,15,150,0.4288888888888889,0.4288888888888889,0.42888888888888893
False,15,5,15,150,0.6226666666666667,0.6226666666666667,0.6226666666666667
False,25,5,15,150,0.6226666666666667,0.6226666666666667,0.6226666666666667
False,50,5,15,150,0.6226666666666667,0.6226666666666667,0.6226666666666667
False,15,10,15,150,0.8186666666666667,0.8186666666666667,0.8186666666666667
False,25,10,15,150,0.8186666666666667,0.8186666666666667,0.8186666666666667
False,50,10,15,150,0.8186666666666667,0.8186666666666667,0.8186666666666667
False,15,3,30,150,0.5044444444444445,0.5044444444444445,0.5044444444444445
False,25,3,30,150,0.5044444444444445,0.5044444444444445,0.5044444444444445
False,50,3,30,150,0.5044444444444445,0.5044444444444445,0.5044444444444445
False,15,5,30,150,0.6386666666666667,0.6386666666666667,0.6386666666666667
False,25,5,30,150,0.6386666666666667,0.6386666666666667,0.6386666666666667
False,50,5,30,150,0.6386666666666667,0.6386666666666667,0.6386666666666667
False,15,10,30,150,0.81,0.81,0.81
False,25,10,30,150,0.81,0.81,0.81
False,50,10,30,150,0.81,0.81,0.81
True,15,3,5,150,0.5786666666666667,0.5786666666666667,0.5786666666666667
True,25,3,5,150,0.58,0.58,0.58
True,50,3,5,150,0.5784444444444444,0.5784444444444444,0.5784444444444444
True,15,5,5,150,0.6373333333333333,0.6373333333333333,0.6373333333333333
True,25,5,5,150,0.6373333333333333,0.6373333333333333,0.6373333333333333
True,50,5,5,150,0.6373333333333333,0.6373333333333333,0.6373333333333333
True,15,10,5,150,0.8128666666666666,0.8128666666666666,0.8128666666666666
True,25,10,5,150,0.8080666666666667,0.8080666666666667,0.8080666666666667
True,50,10,5,150,0.8002,0.8002,0.8002000000000001
True,15,3,15,150,0.7182222222222222,0.7182222222222222,0.7182222222222222
True,25,3,15,150,0.7195555555555555,0.7195555555555555,0.7195555555555555
True,50,3,15,150,0.7186666666666667,0.7186666666666667,0.7186666666666667
True,15,5,15,150,0.6558666666666667,0.6558666666666667,0.6558666666666667
True,25,5,15,150,0.6558666666666667,0.6558666666666667,0.6558666666666667
True,50,5,15,150,0.6562666666666667,0.6562666666666667,0.6562666666666667
True,15,10,15,150,0.784,0.784,0.7840000000000001
True,25,10,15,150,0.784,0.784,0.7840000000000001
True,50,10,15,150,0.784,0.784,0.7840000000000001
True,15,3,30,150,0.6706666666666666,0.6706666666666666,0.6706666666666666
True,25,3,30,150,0.6702222222222223,0.6702222222222223,0.6702222222222223
True,50,3,30,150,0.6706666666666666,0.6706666666666666,0.6706666666666666
True,15,5,30,150,0.6638666666666667,0.6638666666666667,0.6638666666666667
True,25,5,30,150,0.6638666666666667,0.6638666666666667,0.6638666666666667
True,50,5,30,150,0.6638666666666667,0.6638666666666667,0.6638666666666667
True,15,10,30,150,0.7893333333333333,0.7893333333333333,0.7893333333333333
True,25,10,30,150,0.7893333333333333,0.7893333333333333,0.7893333333333333
True,50,10,30,150,0.7893333333333333,0.7893333333333333,0.7893333333333333
