usa_vizinhos,n_dimensoes,n_classes,n_atributos,n_exemplos,precisao,cobertura,medida_f
False,23,10,15,150,0.812,0.812,0.8119999999999999
False,20,10,15,150,0.812,0.812,0.8119999999999999
False,15,10,15,150,0.812,0.812,0.8119999999999999
True,23,10,15,150,0.8066666666666666,0.8066666666666666,0.8066666666666665
True,20,10,15,150,0.8066666666666666,0.8066666666666666,0.8066666666666665
True,15,10,15,150,0.8066666666666666,0.8066666666666666,0.8066666666666665
False,23,10,30,150,0.8013333333333333,0.8013333333333333,0.8013333333333333
False,20,10,30,150,0.8013333333333333,0.8013333333333333,0.8013333333333333
False,15,10,30,150,0.8013333333333333,0.8013333333333333,0.8013333333333333
False,23,10,5,150,0.796,0.796,0.796
