usa_vizinhos,n_neuronios,n_classes,n_atributos,n_exemplos,precisao,cobertura,medida_f
False,15,3,4,150,0.48,0.48,0.48
False,25,3,4,150,0.48,0.48,0.48
False,50,3,4,150,0.48,0.48,0.48
False,85,3,4,150,0.48,0.48,0.48
False,115,3,4,150,0.48,0.48,0.48
False,15,5,4,150,0.38533333333333336,0.38533333333333336,0.38533333333333336
False,25,5,4,150,0.38533333333333336,0.38533333333333336,0.38533333333333336
False,50,5,4,150,0.38533333333333336,0.38533333333333336,0.38533333333333336
False,85,5,4,150,0.38533333333333336,0.38533333333333336,0.38533333333333336
False,115,5,4,150,0.38533333333333336,0.38533333333333336,0.38533333333333336
False,15,10,4,150,0.218,0.218,0.218
False,25,10,4,150,0.218,0.218,0.218
False,50,10,4,150,0.218,0.218,0.218
False,85,10,4,150,0.218,0.218,0.218
False,115,10,4,150,0.218,0.218,0.218
False,15,15,4,150,0.12355555555555556,0.12355555555555556,0.12355555555555556
False,25,15,4,150,0.12355555555555556,0.12355555555555556,0.12355555555555556
False,50,15,4,150,0.12355555555555556,0.12355555555555556,0.12355555555555556
False,85,15,4,150,0.12355555555555556,0.12355555555555556,0.12355555555555556
False,115,15,4,150,0.12355555555555556,0.12355555555555556,0.12355555555555556
False,15,30,4,150,0.06622222222222222,0.06622222222222222,0.06622222222222222
False,25,30,4,150,0.06622222222222222,0.06622222222222222,0.06622222222222222
False,50,30,4,150,0.06622222222222222,0.06622222222222222,0.06622222222222222
False,85,30,4,150,0.06622222222222222,0.06622222222222222,0.06622222222222222
False,115,30,4,150,0.06622222222222222,0.06622222222222222,0.06622222222222222
False,15,3,10,150,0.48444444444444446,0.48444444444444446,0.48444444444444446
False,25,3,10,150,0.48444444444444446,0.48444444444444446,0.48444444444444446
False,50,3,10,150,0.48444444444444446,0.48444444444444446,0.48444444444444446
False,85,3,10,150,0.48444444444444446,0.48444444444444446,0.48444444444444446
False,115,3,10,150,0.48444444444444446,0.48444444444444446,0.48444444444444446
False,15,5,10,150,0.4013333333333333,0.4013333333333333,0.4013333333333333
False,25,5,10,150,0.4013333333333333,0.4013333333333333,0.4013333333333333
False,50,5,10,150,0.4013333333333333,0.4013333333333333,0.4013333333333333
False,85,5,10,150,0.4013333333333333,0.4013333333333333,0.4013333333333333
False,115,5,10,150,0.4013333333333333,0.4013333333333333,0.4013333333333333
False,15,10,10,150,0.20066666666666666,0.20066666666666666,0.20066666666666666
False,25,10,10,150,0.20066666666666666,0.20066666666666666,0.20066666666666666
False,50,10,10,150,0.20066666666666666,0.20066666666666666,0.20066666666666666
False,85,10,10,150,0.20066666666666666,0.20066666666666666,0.20066666666666666
False,115,10,10,150,0.20066666666666666,0.20066666666666666,0.20066666666666666
False,15,15,10,150,0.12488888888888888,0.12488888888888888,0.12488888888888888
False,25,15,10,150,0.12488888888888888,0.12488888888888888,0.12488888888888888
False,50,15,10,150,0.12488888888888888,0.12488888888888888,0.12488888888888888
False,85,15,10,150,0.12488888888888888,0.12488888888888888,0.12488888888888888
False,115,15,10,150,0.12488888888888888,0.12488888888888888,0.12488888888888888
False,15,30,10,150,0.062,0.062,0.062
False,25,30,10,150,0.062,0.062,0.062
False,50,30,10,150,0.062,0.062,0.062
False,85,30,10,150,0.062,0.062,0.062
False,115,30,10,150,0.062,0.062,0.062
False,15,3,15,150,0.5511111111111111,0.5511111111111111,0.5511111111111111
False,25,3,15,150,0.5511111111111111,0.5511111111111111,0.5511111111111111
False,50,3,15,150,0.5511111111111111,0.5511111111111111,0.5511111111111111
False,85,3,15,150,0.5511111111111111,0.5511111111111111,0.5511111111111111
False,115,3,15,150,0.5511111111111111,0.5511111111111111,0.5511111111111111
False,15,5,15,150,0.3586666666666667,0.3586666666666667,0.3586666666666667
False,25,5,15,150,0.3586666666666667,0.3586666666666667,0.3586666666666667
False,50,5,15,150,0.3586666666666667,0.3586666666666667,0.3586666666666667
False,85,5,15,150,0.3586666666666667,0.3586666666666667,0.3586666666666667
False,115,5,15,150,0.3586666666666667,0.3586666666666667,0.3586666666666667
False,15,10,15,150,0.18866666666666668,0.18866666666666668,0.18866666666666665
False,25,10,15,150,0.18866666666666668,0.18866666666666668,0.18866666666666665
False,50,10,15,150,0.18866666666666668,0.18866666666666668,0.18866666666666665
False,85,10,15,150,0.18866666666666668,0.18866666666666668,0.18866666666666665
False,115,10,15,150,0.18866666666666668,0.18866666666666668,0.18866666666666665
False,15,15,15,150,0.14222222222222222,0.14222222222222222,0.14222222222222222
False,25,15,15,150,0.14222222222222222,0.14222222222222222,0.14222222222222222
False,50,15,15,150,0.14222222222222222,0.14222222222222222,0.14222222222222222
False,85,15,15,150,0.14222222222222222,0.14222222222222222,0.14222222222222222
False,115,15,15,150,0.14222222222222222,0.14222222222222222,0.14222222222222222
False,15,30,15,150,0.06733333333333333,0.06733333333333333,0.06733333333333333
False,25,30,15,150,0.06733333333333333,0.06733333333333333,0.06733333333333333
False,50,30,15,150,0.06733333333333333,0.06733333333333333,0.06733333333333333
False,85,30,15,150,0.06733333333333333,0.06733333333333333,0.06733333333333333
False,115,30,15,150,0.06733333333333333,0.06733333333333333,0.06733333333333333
False,15,3,30,150,0.5111111111111111,0.5111111111111111,0.5111111111111111
False,25,3,30,150,0.5111111111111111,0.5111111111111111,0.5111111111111111
False,50,3,30,150,0.5111111111111111,0.5111111111111111,0.5111111111111111
False,85,3,30,150,0.5111111111111111,0.5111111111111111,0.5111111111111111
False,115,3,30,150,0.5111111111111111,0.5111111111111111,0.5111111111111111
False,15,5,30,150,0.39866666666666667,0.39866666666666667,0.39866666666666667
False,25,5,30,150,0.39866666666666667,0.39866666666666667,0.39866666666666667
False,50,5,30,150,0.39866666666666667,0.39866666666666667,0.39866666666666667
False,85,5,30,150,0.39866666666666667,0.39866666666666667,0.39866666666666667
False,115,5,30,150,0.39866666666666667,0.39866666666666667,0.39866666666666667
False,15,10,30,150,0.18466666666666667,0.18466666666666667,0.18466666666666667
False,25,10,30,150,0.18466666666666667,0.18466666666666667,0.18466666666666667
False,50,10,30,150,0.18466666666666667,0.18466666666666667,0.18466666666666667
False,85,10,30,150,0.18466666666666667,0.18466666666666667,0.18466666666666667
False,115,10,30,150,0.18466666666666667,0.18466666666666667,0.18466666666666667
False,15,15,30,150,0.12755555555555556,0.12755555555555556,0.12755555555555556
False,25,15,30,150,0.12755555555555556,0.12755555555555556,0.12755555555555556
False,50,15,30,150,0.12755555555555556,0.12755555555555556,0.12755555555555556
False,85,15,30,150,0.12755555555555556,0.12755555555555556,0.12755555555555556
False,115,15,30,150,0.12755555555555556,0.12755555555555556,0.12755555555555556
False,15,30,30,150,0.06377777777777778,0.06377777777777778,0.06377777777777778
False,25,30,30,150,0.06377777777777778,0.06377777777777778,0.06377777777777778
False,50,30,30,150,0.06377777777777778,0.06377777777777778,0.06377777777777778
False,85,30,30,150,0.06377777777777778,0.06377777777777778,0.06377777777777778
False,115,30,30,150,0.06377777777777778,0.06377777777777778,0.06377777777777778
False,15,3,80,150,0.5244444444444445,0.5244444444444445,0.5244444444444445
False,25,3,80,150,0.5244444444444445,0.5244444444444445,0.5244444444444445
False,50,3,80,150,0.5244444444444445,0.5244444444444445,0.5244444444444445
False,85,3,80,150,0.5244444444444445,0.5244444444444445,0.5244444444444445
False,115,3,80,150,0.5244444444444445,0.5244444444444445,0.5244444444444445
False,15,5,80,150,0.376,0.376,0.376
False,25,5,80,150,0.376,0.376,0.376
False,50,5,80,150,0.376,0.376,0.376
False,85,5,80,150,0.376,0.376,0.376
False,115,5,80,150,0.376,0.376,0.376
False,15,10,80,150,0.21066666666666667,0.21066666666666667,0.21066666666666667
False,25,10,80,150,0.21066666666666667,0.21066666666666667,0.21066666666666667
False,50,10,80,150,0.21066666666666667,0.21066666666666667,0.21066666666666667
False,85,10,80,150,0.21066666666666667,0.21066666666666667,0.21066666666666667
False,115,10,80,150,0.21066666666666667,0.21066666666666667,0.21066666666666667
False,15,15,80,150,0.12444444444444444,0.12444444444444444,0.12444444444444444
False,25,15,80,150,0.12444444444444444,0.12444444444444444,0.12444444444444444
False,50,15,80,150,0.12444444444444444,0.12444444444444444,0.12444444444444444
False,85,15,80,150,0.12444444444444444,0.12444444444444444,0.12444444444444444
False,115,15,80,150,0.12444444444444444,0.12444444444444444,0.12444444444444444
False,15,30,80,150,0.06466666666666666,0.06466666666666666,0.06466666666666666
False,25,30,80,150,0.06466666666666666,0.06466666666666666,0.06466666666666666
False,50,30,80,150,0.06466666666666666,0.06466666666666666,0.06466666666666666
False,85,30,80,150,0.06466666666666666,0.06466666666666666,0.06466666666666666
False,115,30,80,150,0.06466666666666666,0.06466666666666666,0.06466666666666666
False,15,3,4,450,0.502962962962963,0.502962962962963,0.502962962962963
False,25,3,4,450,0.502962962962963,0.502962962962963,0.502962962962963
False,50,3,4,450,0.502962962962963,0.502962962962963,0.502962962962963
False,85,3,4,450,0.502962962962963,0.502962962962963,0.502962962962963
False,115,3,4,450,0.502962962962963,0.502962962962963,0.502962962962963
False,15,5,4,450,0.41244444444444445,0.41244444444444445,0.41244444444444445
False,25,5,4,450,0.41244444444444445,0.41244444444444445,0.41244444444444445
False,50,5,4,450,0.41244444444444445,0.41244444444444445,0.41244444444444445
False,85,5,4,450,0.41244444444444445,0.41244444444444445,0.41244444444444445
False,115,5,4,450,0.41244444444444445,0.41244444444444445,0.41244444444444445
False,15,10,4,450,0.19,0.19,0.19
False,25,10,4,450,0.19,0.19,0.19
False,50,10,4,450,0.19,0.19,0.19
False,85,10,4,450,0.19,0.19,0.19
False,115,10,4,450,0.19,0.19,0.19
False,15,15,4,450,0.1348148148148148,0.1348148148148148,0.1348148148148148
False,25,15,4,450,0.1348148148148148,0.1348148148148148,0.1348148148148148
False,50,15,4,450,0.1348148148148148,0.1348148148148148,0.1348148148148148
False,85,15,4,450,0.1348148148148148,0.1348148148148148,0.1348148148148148
False,115,15,4,450,0.1348148148148148,0.1348148148148148,0.1348148148148148
False,15,30,4,450,0.06585185185185186,0.06585185185185186,0.06585185185185186
False,25,30,4,450,0.06585185185185186,0.06585185185185186,0.06585185185185186
False,50,30,4,450,0.06585185185185186,0.06585185185185186,0.06585185185185186
False,85,30,4,450,0.06585185185185186,0.06585185185185186,0.06585185185185186
False,115,30,4,450,0.06585185185185186,0.06585185185185186,0.06585185185185186
False,15,3,10,450,0.5155555555555555,0.5155555555555555,0.5155555555555555
False,25,3,10,450,0.5155555555555555,0.5155555555555555,0.5155555555555555
False,50,3,10,450,0.5155555555555555,0.5155555555555555,0.5155555555555555
False,85,3,10,450,0.5155555555555555,0.5155555555555555,0.5155555555555555
False,115,3,10,450,0.5155555555555555,0.5155555555555555,0.5155555555555555
False,15,5,10,450,0.40755555555555556,0.40755555555555556,0.40755555555555556
False,25,5,10,450,0.40755555555555556,0.40755555555555556,0.40755555555555556
False,50,5,10,450,0.40755555555555556,0.40755555555555556,0.40755555555555556
False,85,5,10,450,0.40755555555555556,0.40755555555555556,0.40755555555555556
False,115,5,10,450,0.40755555555555556,0.40755555555555556,0.40755555555555556
False,15,10,10,450,0.1928888888888889,0.1928888888888889,0.1928888888888889
False,25,10,10,450,0.1928888888888889,0.1928888888888889,0.1928888888888889
False,50,10,10,450,0.1928888888888889,0.1928888888888889,0.1928888888888889
False,85,10,10,450,0.1928888888888889,0.1928888888888889,0.1928888888888889
False,115,10,10,450,0.1928888888888889,0.1928888888888889,0.1928888888888889
False,15,15,10,450,0.13140740740740742,0.13140740740740742,0.13140740740740742
False,25,15,10,450,0.13140740740740742,0.13140740740740742,0.13140740740740742
False,50,15,10,450,0.13140740740740742,0.13140740740740742,0.13140740740740742
False,85,15,10,450,0.13140740740740742,0.13140740740740742,0.13140740740740742
False,115,15,10,450,0.13140740740740742,0.13140740740740742,0.13140740740740742
False,15,30,10,450,0.06711111111111111,0.06711111111111111,0.06711111111111111
False,25,30,10,450,0.06711111111111111,0.06711111111111111,0.06711111111111111
False,50,30,10,450,0.06711111111111111,0.06711111111111111,0.06711111111111111
False,85,30,10,450,0.06711111111111111,0.06711111111111111,0.06711111111111111
False,115,30,10,450,0.06711111111111111,0.06711111111111111,0.06711111111111111
False,15,3,15,450,0.5140740740740741,0.5140740740740741,0.5140740740740741
False,25,3,15,450,0.5140740740740741,0.5140740740740741,0.5140740740740741
False,50,3,15,450,0.5140740740740741,0.5140740740740741,0.5140740740740741
False,85,3,15,450,0.5140740740740741,0.5140740740740741,0.5140740740740741
False,115,3,15,450,0.5140740740740741,0.5140740740740741,0.5140740740740741
False,15,5,15,450,0.3857777777777778,0.3857777777777778,0.3857777777777778
False,25,5,15,450,0.3857777777777778,0.3857777777777778,0.3857777777777778
False,50,5,15,450,0.3857777777777778,0.3857777777777778,0.3857777777777778
False,85,5,15,450,0.3857777777777778,0.3857777777777778,0.3857777777777778
False,115,5,15,450,0.3857777777777778,0.3857777777777778,0.3857777777777778
False,15,10,15,450,0.1988888888888889,0.1988888888888889,0.19888888888888892
False,25,10,15,450,0.1988888888888889,0.1988888888888889,0.19888888888888892
False,50,10,15,450,0.1988888888888889,0.1988888888888889,0.19888888888888892
False,85,10,15,450,0.1988888888888889,0.1988888888888889,0.19888888888888892
False,115,10,15,450,0.1988888888888889,0.1988888888888889,0.19888888888888892
False,15,15,15,450,0.14355555555555555,0.14355555555555555,0.14355555555555555
False,25,15,15,450,0.14355555555555555,0.14355555555555555,0.14355555555555555
False,50,15,15,450,0.14355555555555555,0.14355555555555555,0.14355555555555555
False,85,15,15,450,0.14355555555555555,0.14355555555555555,0.14355555555555555
False,115,15,15,450,0.14355555555555555,0.14355555555555555,0.14355555555555555
False,15,30,15,450,0.06592592592592593,0.06592592592592593,0.06592592592592593
False,25,30,15,450,0.06592592592592593,0.06592592592592593,0.06592592592592593
False,50,30,15,450,0.06592592592592593,0.06592592592592593,0.06592592592592593
False,85,30,15,450,0.06592592592592593,0.06592592592592593,0.06592592592592593
False,115,30,15,450,0.06592592592592593,0.06592592592592593,0.06592592592592593
False,15,3,30,450,0.4918518518518519,0.4918518518518519,0.4918518518518519
False,25,3,30,450,0.4918518518518519,0.4918518518518519,0.4918518518518519
False,50,3,30,450,0.4918518518518519,0.4918518518518519,0.4918518518518519
False,85,3,30,450,0.4918518518518519,0.4918518518518519,0.4918518518518519
False,115,3,30,450,0.4918518518518519,0.4918518518518519,0.4918518518518519
False,15,5,30,450,0.3728888888888889,0.3728888888888889,0.3728888888888889
False,25,5,30,450,0.3728888888888889,0.3728888888888889,0.3728888888888889
False,50,5,30,450,0.3728888888888889,0.3728888888888889,0.3728888888888889
False,85,5,30,450,0.3728888888888889,0.3728888888888889,0.3728888888888889
False,115,5,30,450,0.3728888888888889,0.3728888888888889,0.3728888888888889
False,15,10,30,450,0.19777777777777777,0.19777777777777777,0.19777777777777777
False,25,10,30,450,0.19777777777777777,0.19777777777777777,0.19777777777777777
False,50,10,30,450,0.19777777777777777,0.19777777777777777,0.19777777777777777
False,85,10,30,450,0.19777777777777777,0.19777777777777777,0.19777777777777777
False,115,10,30,450,0.19777777777777777,0.19777777777777777,0.19777777777777777
False,15,15,30,450,0.1282962962962963,0.1282962962962963,0.1282962962962963
False,25,15,30,450,0.1282962962962963,0.1282962962962963,0.1282962962962963
False,50,15,30,450,0.1282962962962963,0.1282962962962963,0.1282962962962963
False,85,15,30,450,0.1282962962962963,0.1282962962962963,0.1282962962962963
False,115,15,30,450,0.1282962962962963,0.1282962962962963,0.1282962962962963
False,15,30,30,450,0.0705925925925926,0.0705925925925926,0.0705925925925926
False,25,30,30,450,0.0705925925925926,0.0705925925925926,0.0705925925925926
False,50,30,30,450,0.0705925925925926,0.0705925925925926,0.0705925925925926
False,85,30,30,450,0.0705925925925926,0.0705925925925926,0.0705925925925926
False,115,30,30,450,0.0705925925925926,0.0705925925925926,0.0705925925925926
False,15,3,80,450,0.5303703703703704,0.5303703703703704,0.5303703703703704
False,25,3,80,450,0.5303703703703704,0.5303703703703704,0.5303703703703704
False,50,3,80,450,0.5303703703703704,0.5303703703703704,0.5303703703703704
False,85,3,80,450,0.5303703703703704,0.5303703703703704,0.5303703703703704
False,115,3,80,450,0.5303703703703704,0.5303703703703704,0.5303703703703704
False,15,5,80,450,0.39022222222222225,0.39022222222222225,0.39022222222222225
False,25,5,80,450,0.39022222222222225,0.39022222222222225,0.39022222222222225
False,50,5,80,450,0.39022222222222225,0.39022222222222225,0.39022222222222225
False,85,5,80,450,0.39022222222222225,0.39022222222222225,0.39022222222222225
False,115,5,80,450,0.39022222222222225,0.39022222222222225,0.39022222222222225
False,15,10,80,450,0.21022222222222223,0.21022222222222223,0.21022222222222223
False,25,10,80,450,0.21022222222222223,0.21022222222222223,0.21022222222222223
False,50,10,80,450,0.21022222222222223,0.21022222222222223,0.21022222222222223
False,85,10,80,450,0.21022222222222223,0.21022222222222223,0.21022222222222223
False,115,10,80,450,0.21022222222222223,0.21022222222222223,0.21022222222222223
False,15,15,80,450,0.13037037037037036,0.13037037037037036,0.13037037037037036
False,25,15,80,450,0.13037037037037036,0.13037037037037036,0.13037037037037036
False,50,15,80,450,0.13037037037037036,0.13037037037037036,0.13037037037037036
False,85,15,80,450,0.13037037037037036,0.13037037037037036,0.13037037037037036
False,115,15,80,450,0.13037037037037036,0.13037037037037036,0.13037037037037036
False,15,30,80,450,0.06762962962962962,0.06762962962962962,0.06762962962962962
False,25,30,80,450,0.06762962962962962,0.06762962962962962,0.06762962962962962
False,50,30,80,450,0.06762962962962962,0.06762962962962962,0.06762962962962962
False,85,30,80,450,0.06762962962962962,0.06762962962962962,0.06762962962962962
False,115,30,80,450,0.06762962962962962,0.06762962962962962,0.06762962962962962
False,15,3,4,750,0.5222222222222223,0.5222222222222223,0.5222222222222223
False,25,3,4,750,0.5222222222222223,0.5222222222222223,0.5222222222222223
False,50,3,4,750,0.5222222222222223,0.5222222222222223,0.5222222222222223
False,85,3,4,750,0.5222222222222223,0.5222222222222223,0.5222222222222223
False,115,3,4,750,0.5222222222222223,0.5222222222222223,0.5222222222222223
False,15,5,4,750,0.38906666666666667,0.38906666666666667,0.38906666666666667
False,25,5,4,750,0.38906666666666667,0.38906666666666667,0.38906666666666667
False,50,5,4,750,0.38906666666666667,0.38906666666666667,0.38906666666666667
False,85,5,4,750,0.38906666666666667,0.38906666666666667,0.38906666666666667
False,115,5,4,750,0.38906666666666667,0.38906666666666667,0.38906666666666667
False,15,10,4,750,0.20013333333333333,0.20013333333333333,0.20013333333333333
False,25,10,4,750,0.20013333333333333,0.20013333333333333,0.20013333333333333
False,50,10,4,750,0.20013333333333333,0.20013333333333333,0.20013333333333333
False,85,10,4,750,0.20013333333333333,0.20013333333333333,0.20013333333333333
False,115,10,4,750,0.20013333333333333,0.20013333333333333,0.20013333333333333
False,15,15,4,750,0.13191111111111112,0.13191111111111112,0.13191111111111112
False,25,15,4,750,0.13191111111111112,0.13191111111111112,0.13191111111111112
False,50,15,4,750,0.13191111111111112,0.13191111111111112,0.13191111111111112
False,85,15,4,750,0.13191111111111112,0.13191111111111112,0.13191111111111112
False,115,15,4,750,0.13191111111111112,0.13191111111111112,0.13191111111111112
False,15,30,4,750,0.0692,0.0692,0.0692
False,25,30,4,750,0.0692,0.0692,0.0692
False,50,30,4,750,0.0692,0.0692,0.0692
False,85,30,4,750,0.0692,0.0692,0.0692
False,115,30,4,750,0.0692,0.0692,0.0692
False,15,3,10,750,0.5568888888888889,0.5568888888888889,0.5568888888888889
False,25,3,10,750,0.5568888888888889,0.5568888888888889,0.5568888888888889
False,50,3,10,750,0.5568888888888889,0.5568888888888889,0.5568888888888889
False,85,3,10,750,0.5568888888888889,0.5568888888888889,0.5568888888888889
False,115,3,10,750,0.5568888888888889,0.5568888888888889,0.5568888888888889
False,15,5,10,750,0.3912,0.3912,0.3912
False,25,5,10,750,0.3912,0.3912,0.3912
False,50,5,10,750,0.3912,0.3912,0.3912
False,85,5,10,750,0.3912,0.3912,0.3912
False,115,5,10,750,0.3912,0.3912,0.3912
False,15,10,10,750,0.19586666666666666,0.19586666666666666,0.19586666666666666
False,25,10,10,750,0.19586666666666666,0.19586666666666666,0.19586666666666666
False,50,10,10,750,0.19586666666666666,0.19586666666666666,0.19586666666666666
False,85,10,10,750,0.19586666666666666,0.19586666666666666,0.19586666666666666
False,115,10,10,750,0.19586666666666666,0.19586666666666666,0.19586666666666666
False,15,15,10,750,0.13715555555555556,0.13715555555555556,0.13715555555555556
False,25,15,10,750,0.13715555555555556,0.13715555555555556,0.13715555555555556
False,50,15,10,750,0.13715555555555556,0.13715555555555556,0.13715555555555556
False,85,15,10,750,0.13715555555555556,0.13715555555555556,0.13715555555555556
False,115,15,10,750,0.13715555555555556,0.13715555555555556,0.13715555555555556
False,15,30,10,750,0.06471111111111111,0.06471111111111111,0.06471111111111111
False,25,30,10,750,0.06471111111111111,0.06471111111111111,0.06471111111111111
False,50,30,10,750,0.06471111111111111,0.06471111111111111,0.06471111111111111
False,85,30,10,750,0.06471111111111111,0.06471111111111111,0.06471111111111111
False,115,30,10,750,0.06471111111111111,0.06471111111111111,0.06471111111111111
False,15,3,15,750,0.5373333333333333,0.5373333333333333,0.5373333333333333
