usa_vizinhos,n_dimensoes,n_classes,n_atributos,n_exemplos,precisao,cobertura,medida_f
False,15,3,5,150,0.4911111111111111,0.4911111111111111,0.4911111111111111
False,20,3,5,150,0.4911111111111111,0.4911111111111111,0.4911111111111111
False,23,3,5,150,0.4911111111111111,0.4911111111111111,0.4911111111111111
False,15,5,5,150,0.588,0.588,0.588
False,20,5,5,150,0.588,0.588,0.588
False,23,5,5,150,0.588,0.588,0.588
False,15,10,5,150,0.794,0.794,0.7940000000000002
False,20,10,5,150,0.794,0.794,0.7940000000000002
False,23,10,5,150,0.794,0.794,0.7940000000000002
False,15,3,15,150,0.5355555555555556,0.5355555555555556,0.5355555555555556
False,20,3,15,150,0.5355555555555556,0.5355555555555556,0.5355555555555556
False,23,3,15,150,0.5355555555555556,0.5355555555555556,0.5355555555555556
False,15,5,15,150,0.6493333333333333,0.6493333333333333,0.6493333333333333
False,20,5,15,150,0.6493333333333333,0.6493333333333333,0.6493333333333333
False,23,5,15,150,0.6493333333333333,0.6493333333333333,0.6493333333333333
False,15,10,15,150,0.7926666666666666,0.7926666666666666,0.7926666666666666
False,20,10,15,150,0.7926666666666666,0.7926666666666666,0.7926666666666666
False,23,10,15,150,0.7926666666666666,0.7926666666666666,0.7926666666666666
False,15,3,30,150,0.4777777777777778,0.4777777777777778,0.4777777777777778
False,20,3,30,150,0.4777777777777778,0.4777777777777778,0.4777777777777778
False,23,3,30,150,0.4777777777777778,0.4777777777777778,0.4777777777777778
False,15,5,30,150,0.5986666666666667,0.5986666666666667,0.5986666666666667
False,20,5,30,150,0.5986666666666667,0.5986666666666667,0.5986666666666667
False,23,5,30,150,0.5986666666666667,0.5986666666666667,0.5986666666666667
False,15,10,30,150,0.8013333333333333,0.8013333333333333,0.8013333333333333
False,20,10,30,150,0.8013333333333333,0.8013333333333333,0.8013333333333333
False,23,10,30,150,0.8013333333333333,0.8013333333333333,0.8013333333333333
True,15,3,5,150,0.6091111111111112,0.6091111111111112,0.6091111111111112
True,20,3,5,150,0.6182222222222222,0.6182222222222222,0.6182222222222222
True,23,3,5,150,0.6446666666666667,0.6446666666666667,0.6446666666666667
True,15,5,5,150,0.6678666666666667,0.6678666666666667,0.6678666666666667
True,20,5,5,150,0.6677333333333333,0.6677333333333333,0.6677333333333333
True,23,5,5,150,0.668,0.668,0.668
True,15,10,5,150,0.7886666666666666,0.7886666666666666,0.7886666666666666
True,20,10,5,150,0.7886666666666666,0.7886666666666666,0.7886666666666666
True,23,10,5,150,0.7886666666666666,0.7886666666666666,0.7886666666666666
True,15,3,15,150,0.5306666666666666,0.5306666666666666,0.5306666666666666
True,20,3,15,150,0.5308888888888889,0.5308888888888889,0.5308888888888889
True,23,3,15,150,0.5293333333333333,0.5293333333333333,0.5293333333333333
True,15,5,15,150,0.6506666666666666,0.6506666666666666,0.6506666666666666
True,20,5,15,150,0.6506666666666666,0.6506666666666666,0.6506666666666666
True,23,5,15,150,0.6506666666666666,0.6506666666666666,0.6506666666666666
True,15,10,15,150,0.8166666666666667,0.8166666666666667,0.8166666666666667
True,20,10,15,150,0.8166666666666667,0.8166666666666667,0.8166666666666667
True,23,10,15,150,0.8166666666666667,0.8166666666666667,0.8166666666666667
True,15,3,30,150,0.7044444444444444,0.7044444444444444,0.7044444444444444
True,20,3,30,150,0.704,0.704,0.704
True,23,3,30,150,0.7035555555555556,0.7035555555555556,0.7035555555555556
True,15,5,30,150,0.6493333333333333,0.6493333333333333,0.6493333333333333
True,20,5,30,150,0.6493333333333333,0.6493333333333333,0.6493333333333333
True,23,5,30,150,0.6493333333333333,0.6493333333333333,0.6493333333333333
True,15,10,30,150,0.7893333333333333,0.7893333333333333,0.7893333333333333
True,20,10,30,150,0.7893333333333333,0.7893333333333333,0.7893333333333333
True,23,10,30,150,0.7893333333333333,0.7893333333333333,0.7893333333333333
